25000
95	1466	1
217	1229	1
2093	1534	1
1405	707	1
2488	515	1
2933	1244	1
1443	163	1
1212	1600	1
2988	1236	1
649	1013	1
2287	1364	1
335	1441	1
2316	335	1
120	1762	1
1355	1753	1
642	508	1
2630	808	1
2323	559	1
1199	198	1
628	1618	1
2815	1449	1
51	1798	1
804	913	1
1379	1837	1
1302	342	1
837	1644	1
557	764	1
2688	1036	1
618	1524	1
2326	592	1
2974	381	1
2769	632	1
1182	804	1
2317	731	1
1167	463	1
2838	1376	1
1767	850	1
2432	92	1
2539	891	1
1492	137	1
1807	1678	1
1502	1597	1
10	209	1
1703	1686	1
1282	963	1
1165	2	1
668	1670	1
1510	665	1
2419	36	1
698	327	1
1373	1340	1
521	1473	1
316	772	1
460	1024	1
1313	221	1
1579	1546	1
2337	974	1
1482	252	1
1752	1160	1
2850	89	1
1191	737	1
466	1265	1
877	202	1
2584	1020	1
2757	1782	1
172	1933	1
624	350	1
1337	1325	1
953	1520	1
1913	1115	1
892	1951	1
2987	1675	1
798	1072	1
2210	1672	1
1293	1608	1
271	789	1
2265	1808	1
395	1988	1
2724	531	1
2039	1631	1
1680	720	1
2660	704	1
2546	1614	1
941	866	1
2690	176	1
1290	1765	1
1381	690	1
2561	117	1
57	1412	1
2646	412	1
1568	1559	1
574	1417	1
2637	628	1
2852	398	1
1104	204	1
2315	1987	1
2270	408	1
1656	1058	1
2035	1136	1
600	1862	1
520	1424	1
92	1581	1
1091	1876	1
646	1018	1
1431	1437	1
1530	775	1
1239	1686	1
2961	1719	1
2621	1419	1
2490	25	1
47	1171	1
2699	375	1
1510	63	1
1418	1472	1
1962	1570	1
308	1952	1
440	369	1
607	1645	1
2534	1283	1
2949	713	1
86	1262	1
2392	1507	1
2884	732	1
104	16	1
1906	1413	1
1891	780	1
1938	1353	1
977	1055	1
638	1313	1
784	652	1
278	286	1
2308	1998	1
75	624	1
1890	664	1
2100	1724	1
2360	1673	1
116	1808	1
2632	636	1
1600	1486	1
939	1368	1
1781	1576	1
100	1899	1
1269	1508	1
1938	1910	1
330	1954	1
2204	1822	1
2386	1979	1
194	1483	1
2357	526	1
809	534	1
2412	1990	1
387	835	1
1096	1051	1
2963	1143	1
1138	1204	1
135	1313	1
789	1982	1
1402	1762	1
2871	1264	1
1580	846	1
180	1788	1
504	635	1
1628	1679	1
2913	1698	1
1383	1520	1
1598	68	1
1126	686	1
12	887	1
453	721	1
278	82	1
1281	949	1
2343	593	1
201	993	1
368	1647	1
740	85	1
2288	664	1
22	1300	1
298	1621	1
1822	234	1
2594	1986	1
2098	901	1
1385	804	1
2225	843	1
1649	572	1
727	1039	1
1255	1286	1
1283	1953	1
2795	1771	1
1045	1236	1
1092	542	1
2289	533	1
2632	1953	1
919	235	1
529	445	1
2636	1611	1
1333	1959	1
398	1200	1
2524	1753	1
1227	466	1
281	1236	1
2143	766	1
1203	919	1
1292	1194	1
195	329	1
2777	173	1
1935	1716	1
68	1834	1
2840	531	1
772	1468	1
2068	1496	1
2802	925	1
2133	1957	1
2368	1483	1
734	1440	1
825	1756	1
739	855	1
105	212	1
1190	1774	1
1898	1442	1
2876	1603	1
2664	853	1
30	292	1
822	473	1
553	108	1
265	701	1
1964	1723	1
904	1361	1
2395	1643	1
2691	1912	1
1928	487	1
2347	1542	1
1191	900	1
2109	1664	1
2418	1110	1
1980	1584	1
141	1318	1
2681	103	1
2771	51	1
2338	1501	1
2321	1911	1
2855	152	1
1446	385	1
2646	496	1
2613	895	1
1771	863	1
1458	15	1
740	1560	1
1872	1945	1
2904	315	1
228	571	1
2623	92	1
2118	1226	1
1384	1251	1
200	766	1
1508	1489	1
564	276	1
1522	1996	1
2813	1966	1
1426	468	1
2313	582	1
2922	671	1
2470	1700	1
107	557	1
2360	1476	1
2776	604	1
891	1212	1
2802	1789	1
2523	1179	1
327	1984	1
1398	1561	1
1334	1168	1
967	344	1
646	47	1
914	1495	1
1811	1905	1
223	1645	1
2552	434	1
2000	1275	1
1125	1427	1
423	874	1
637	707	1
1712	385	1
2935	1033	1
2700	1868	1
753	1946	1
65	1104	1
2856	137	1
1247	438	1
965	1649	1
1668	915	1
1187	1744	1
112	90	1
2504	602	1
2516	1679	1
2314	794	1
1461	1101	1
1057	1644	1
2935	1879	1
2337	1539	1
2116	17	1
742	60	1
1436	1453	1
1048	1989	1
2689	1325	1
718	291	1
1889	1013	1
2008	366	1
2731	1496	1
842	1882	1
1829	230	1
337	290	1
1474	1242	1
2761	1560	1
2110	1757	1
654	591	1
1070	502	1
1525	1060	1
1155	360	1
431	1229	1
2782	1912	1
2571	1890	1
116	1117	1
1177	1822	1
2255	1329	1
2429	1137	1
198	776	1
2309	1048	1
533	1854	1
2534	1622	1
2567	579	1
1986	86	1
2063	1556	1
1036	135	1
2492	1532	1
2693	258	1
2348	616	1
888	1413	1
2435	1102	1
547	1308	1
396	475	1
360	1285	1
1737	30	1
2042	472	1
1138	40	1
2255	167	1
1386	1440	1
40	669	1
2100	706	1
1372	623	1
1611	611	1
1819	184	1
1600	360	1
985	1696	1
266	321	1
2981	143	1
1588	1427	1
2608	1660	1
646	805	1
2983	226	1
1215	205	1
547	859	1
1565	1791	1
1830	390	1
2714	1662	1
454	1079	1
261	1070	1
840	1320	1
1113	70	1
2534	1253	1
1943	1127	1
393	1943	1
552	1471	1
1619	470	1
903	1872	1
1231	1555	1
1316	1120	1
1442	1034	1
1711	583	1
1354	362	1
875	953	1
2138	1235	1
2434	1567	1
2297	346	1
1588	1532	1
434	221	1
1583	913	1
102	1112	1
2356	1128	1
1720	860	1
944	1724	1
2382	438	1
2182	757	1
2628	379	1
2839	1234	1
210	502	1
2821	1593	1
2200	230	1
1160	654	1
1621	272	1
2450	1097	1
288	836	1
71	1491	1
2091	1236	1
2137	904	1
809	1133	1
1787	1093	1
1780	1999	1
723	1162	1
1984	44	1
655	417	1
1577	872	1
1744	1440	1
1365	1847	1
2285	972	1
2825	770	1
2293	245	1
2229	889	1
1789	562	1
2438	173	1
1473	593	1
454	93	1
707	1974	1
774	1768	1
2814	1541	1
60	692	1
757	1039	1
923	1962	1
349	261	1
1104	1320	1
2374	185	1
2944	603	1
700	1215	1
2193	1468	1
1454	1610	1
1369	826	1
1448	912	1
2281	991	1
2008	1220	1
2975	1906	1
484	1211	1
532	565	1
908	688	1
1285	1896	1
1605	1726	1
1491	181	1
1029	282	1
2683	1248	1
375	7	1
999	1215	1
2867	1882	1
1916	743	1
1813	23	1
1121	1028	1
492	211	1
1674	648	1
28	749	1
1357	873	1
1417	417	1
2838	1351	1
2129	1417	1
874	386	1
2466	1914	1
1136	632	1
1444	1626	1
2373	1922	1
487	928	1
